query,true_domain,pred_domain,true_intent,pred_intent,true_endpoint,pred_endpoint,true_parameters,pred_parameters,true_ontology,pred_ontology,domain_correct,intent_correct,endpoint_correct,parameter_correct,ontology_correct,full_correct
Browse products for yoga mat under $50.,Product,Product,SearchProduct,SearchProduct,/products/search,/products/search,keyword=yoga mat;maxPrice=50,keyword=UNKNOWN,SearchProduct,SearchProduct,True,True,True,False,True,False
I am looking for product choices: gaming chair.,Product,Product,SearchProduct,SearchProduct,/products/search,/products/search,keyword=gaming chair,keyword=chair,SearchProduct,SearchProduct,True,True,True,False,True,False
What product options do you have for noise-cancelling earbuds in electronics?,Product,Unknown,SearchProduct,Unknown,/products/search,Unknown,keyword=noise-cancelling earbuds;category=electronics,,SearchProduct,Unknown,False,False,False,False,False,False
Pull up product matches for ergonomic office desk under $300.,Product,Unknown,SearchProduct,Unknown,/products/search,Unknown,keyword=ergonomic office desk;maxPrice=300,,SearchProduct,Unknown,False,False,False,False,False,False
Help me shop for winter jacket in clothing.,Product,Unknown,SearchProduct,Unknown,/products/search,Unknown,keyword=winter jacket;category=clothing,,SearchProduct,Unknown,False,False,False,False,False,False
Can you show alternatives for portable Bluetooth speaker?,Product,Unknown,SearchProduct,Unknown,/products/search,Unknown,keyword=portable Bluetooth speaker,,SearchProduct,Unknown,False,False,False,False,False,False
I need ideas for buying vitamin supplement in health under $30.,Product,Order,SearchProduct,CreateOrder,/products/search,/orders/create,keyword=vitamin supplement;category=health;maxPrice=30,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,SearchProduct,CreateOrder,False,False,False,False,False,False
Point me toward decent robot vacuum cleaner.,Product,Unknown,SearchProduct,Unknown,/products/search,Unknown,keyword=robot vacuum cleaner,,SearchProduct,Unknown,False,False,False,False,False,False
Give me the product details for P-1023.,Product,Product,GetProductDetails,GetProductDetails,/products/details,/products/details,productId=P-1023,productId=UNKNOWN,GetProductDetails,GetProductDetails,True,True,True,False,True,False
Show full information for product SKU-44891.,Product,Product,GetProductDetails,GetProductDetails,/products/details,/products/details,productId=SKU-44891,productId=UNKNOWN,GetProductDetails,GetProductDetails,True,True,True,False,True,False
What are the product specs and details for PROD-772?,Product,Unknown,GetProductDetails,Unknown,/products/details,Unknown,productId=PROD-772,,GetProductDetails,Unknown,False,False,False,False,False,False
Fetch product information for B00X9QH3EY.,Product,Unknown,GetProductDetails,Unknown,/products/details,Unknown,productId=B00X9QH3EY,,GetProductDetails,Unknown,False,False,False,False,False,False
Open the details page for product ABC-990.,Product,Unknown,GetProductDetails,Unknown,/products/details,Unknown,productId=ABC-990,,GetProductDetails,Unknown,False,False,False,False,False,False
Tell me the product information listed for ITEM-33052.,Product,Unknown,GetProductDetails,Unknown,/products/details,Unknown,productId=ITEM-33052,,GetProductDetails,Unknown,False,False,False,False,False,False
I need details about product GADGET-7.,Product,Unknown,GetProductDetails,Unknown,/products/details,Unknown,productId=GADGET-7,,GetProductDetails,Unknown,False,False,False,False,False,False
Pull up product details and specs for ZXY-001.,Product,Product,GetProductDetails,GetProductDetails,/products/details,/products/details,productId=ZXY-001,productId=UNKNOWN,GetProductDetails,GetProductDetails,True,True,True,False,True,False
Let me inspect item CAT-5580 before buying.,Product,Order,GetProductDetails,CreateOrder,/products/details,/orders/create,productId=CAT-5580,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,GetProductDetails,CreateOrder,False,False,False,False,False,False
Give me the full rundown on PR-4455.,Product,Unknown,GetProductDetails,Unknown,/products/details,Unknown,productId=PR-4455,,GetProductDetails,Unknown,False,False,False,False,False,False
"Before I decide, what is TECH-2210 exactly?",Product,Unknown,GetProductDetails,Unknown,/products/details,Unknown,productId=TECH-2210,,GetProductDetails,Unknown,False,False,False,False,False,False
Show what comes with MODEL-X99.,Product,Unknown,GetProductDetails,Unknown,/products/details,Unknown,productId=MODEL-X99,,GetProductDetails,Unknown,False,False,False,False,False,False
Compare product P-100 and product P-200.,Product,Product,CompareProducts,CompareProducts,/products/compare,/products/compare,productId1=P-100;productId2=P-200,productId1=UNKNOWN;productId2=UNKNOWN,CompareProducts,CompareProducts,True,True,True,False,True,False
Compare product SKU-A001 with product SKU-B002.,Product,Product,CompareProducts,CompareProducts,/products/compare,/products/compare,productId1=SKU-A001;productId2=SKU-B002,productId1=UNKNOWN;productId2=UNKNOWN,CompareProducts,CompareProducts,True,True,True,False,True,False
What is the difference between product ITEM-55 and product ITEM-66?,Product,Product,CompareProducts,CompareProducts,/products/compare,/products/compare,productId1=ITEM-55;productId2=ITEM-66,productId1=UNKNOWN;productId2=UNKNOWN,CompareProducts,CompareProducts,True,True,True,False,True,False
Compare the features of PROD-300 versus PROD-400.,Product,Product,CompareProducts,CompareProducts,/products/compare,/products/compare,productId1=PROD-300;productId2=PROD-400,productId1=UNKNOWN;productId2=UNKNOWN,CompareProducts,CompareProducts,True,True,True,False,True,False
Compare the product features of GAD-X1 and GAD-X2.,Product,Product,CompareProducts,CompareProducts,/products/compare,/products/compare,productId1=GAD-X1;productId2=GAD-X2,productId1=UNKNOWN;productId2=UNKNOWN,CompareProducts,CompareProducts,True,True,True,False,True,False
Can you compare M-Alpha with M-Beta?,Product,Product,CompareProducts,CompareProducts,/products/compare,/products/compare,productId1=M-Alpha;productId2=M-Beta,productId1=UNKNOWN;productId2=UNKNOWN,CompareProducts,CompareProducts,True,True,True,False,True,False
Show the product difference between LAPTOP-A and LAPTOP-B.,Product,Product,CompareProducts,CompareProducts,/products/compare,/products/compare,productId1=LAPTOP-A;productId2=LAPTOP-B,productId1=UNKNOWN;productId2=UNKNOWN,CompareProducts,CompareProducts,True,True,True,False,True,False
Help me compare product IDs PH-1 and PH-2.,Product,Product,CompareProducts,CompareProducts,/products/compare,/products/compare,productId1=PH-1;productId2=PH-2,productId1=UNKNOWN;productId2=UNKNOWN,CompareProducts,CompareProducts,True,True,True,False,True,False
How does CAM-100 stack up against CAM-200?,Product,Unknown,CompareProducts,Unknown,/products/compare,Unknown,productId1=CAM-100;productId2=CAM-200,,CompareProducts,Unknown,False,False,False,False,False,False
Show the tradeoffs between SHOE-RED and SHOE-BLUE.,Product,Unknown,CompareProducts,Unknown,/products/compare,Unknown,productId1=SHOE-RED;productId2=SHOE-BLUE,,CompareProducts,Unknown,False,False,False,False,False,False
I am torn between HDP-1 and HDP-2; help me decide.,Product,Unknown,CompareProducts,Unknown,/products/compare,Unknown,productId1=HDP-1;productId2=HDP-2,,CompareProducts,Unknown,False,False,False,False,False,False
"If I can only buy one, TV-50 or TV-65, what differs?",Product,Order,CompareProducts,CreateOrder,/products/compare,/orders/create,productId1=TV-50;productId2=TV-65,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,CompareProducts,CreateOrder,False,False,False,False,False,False
Is product P-1023 currently available?,Product,Product,CheckProductAvailability,CheckProductAvailability,/products/availability,/products/availability,productId=P-1023,productId=UNKNOWN,CheckProductAvailability,CheckProductAvailability,True,True,True,False,True,False
Check availability for product SKU-77892.,Product,Product,CheckProductAvailability,CheckProductAvailability,/products/availability,/products/availability,productId=SKU-77892,productId=UNKNOWN,CheckProductAvailability,CheckProductAvailability,True,True,True,False,True,False
Is item PROD-550 in stock right now?,Product,Weather,CheckProductAvailability,GetCurrentWeather,/products/availability,/weather/current,productId=PROD-550,city=UNKNOWN,CheckProductAvailability,GetCurrentWeather,False,False,False,False,False,False
Show the stock status and availability for product ITEM-9900.,Product,Product,CheckProductAvailability,CheckProductAvailability,/products/availability,/products/availability,productId=ITEM-9900,productId=UNKNOWN,CheckProductAvailability,CheckProductAvailability,True,True,True,False,True,False
Verify product availability for GADGET-42.,Product,Product,CheckProductAvailability,CheckProductAvailability,/products/availability,/products/availability,productId=GADGET-42,productId=UNKNOWN,CheckProductAvailability,CheckProductAvailability,True,True,True,False,True,False
"Can product LAPTOP-PRO still be ordered, is it available?",Product,Product,CheckProductAvailability,SearchProduct,/products/availability,/products/search,productId=LAPTOP-PRO,keyword=laptop,CheckProductAvailability,SearchProduct,True,False,False,False,False,False
Do you have product MODEL-ZZ in stock?,Product,Product,CheckProductAvailability,CheckProductAvailability,/products/availability,/products/availability,productId=MODEL-ZZ,productId=UNKNOWN,CheckProductAvailability,CheckProductAvailability,True,True,True,False,True,False
"Before I visit the store, see if product SNEAKER-X is available.",Product,Product,CheckProductAvailability,CheckProductAvailability,/products/availability,/products/availability,productId=SNEAKER-X,productId=UNKNOWN,CheckProductAvailability,CheckProductAvailability,True,True,True,False,True,False
Tell me whether BOOK-1010 is still being sold.,Product,Unknown,CheckProductAvailability,Unknown,/products/availability,Unknown,productId=BOOK-1010,,CheckProductAvailability,Unknown,False,False,False,False,False,False
Is HEADSET-PRO ready to ship?,Product,Unknown,CheckProductAvailability,Unknown,/products/availability,Unknown,productId=HEADSET-PRO,,CheckProductAvailability,Unknown,False,False,False,False,False,False
Would checkout work for CAMERA-4K today?,Product,Unknown,CheckProductAvailability,Unknown,/products/availability,Unknown,productId=CAMERA-4K,,CheckProductAvailability,Unknown,False,False,False,False,False,False
Can I actually buy WATCH-S5 now?,Product,Order,CheckProductAvailability,CreateOrder,/products/availability,/orders/create,productId=WATCH-S5,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,CheckProductAvailability,CreateOrder,False,False,False,False,False,False
Show me the product reviews for P-1023.,Product,Product,GetProductReviews,GetProductReviews,/products/reviews,/products/reviews,productId=P-1023,productId=UNKNOWN,GetProductReviews,GetProductReviews,True,True,True,False,True,False
Fetch customer reviews for product SKU-55009.,Product,Product,GetProductReviews,GetProductReviews,/products/reviews,/products/reviews,productId=SKU-55009,productId=UNKNOWN,GetProductReviews,GetProductReviews,True,True,True,False,True,False
What are the reviews saying about product PROD-887?,Product,Product,GetProductReviews,GetProductReviews,/products/reviews,/products/reviews,productId=PROD-887,productId=UNKNOWN,GetProductReviews,GetProductReviews,True,True,True,False,True,False
Display reviews and ratings for product ITEM-340.,Product,Product,GetProductReviews,GetProductReviews,/products/reviews,/products/reviews,productId=ITEM-340,productId=UNKNOWN,GetProductReviews,GetProductReviews,True,True,True,False,True,False
Open the review section for product GADGET-9.,Product,Unknown,GetProductReviews,Unknown,/products/reviews,Unknown,productId=GADGET-9,,GetProductReviews,Unknown,False,False,False,False,False,False
What do customers say in reviews for product LAPTOP-ULTRA?,Product,Product,GetProductReviews,GetProductReviews,/products/reviews,/products/reviews,productId=LAPTOP-ULTRA,productId=UNKNOWN,GetProductReviews,GetProductReviews,True,True,True,False,True,False
Are buyers happy with product MODEL-K20? Show reviews.,Product,Product,GetProductReviews,GetProductReviews,/products/reviews,/products/reviews,productId=MODEL-K20,productId=UNKNOWN,GetProductReviews,GetProductReviews,True,True,True,False,True,False
Give me user reviews on product SNEAKER-PRO.,Product,Product,GetProductReviews,GetProductReviews,/products/reviews,/products/reviews,productId=SNEAKER-PRO,productId=UNKNOWN,GetProductReviews,GetProductReviews,True,True,True,False,True,False
How is HEADPHONE-360 rated by people who bought it?,Product,Unknown,GetProductReviews,Unknown,/products/reviews,Unknown,productId=HEADPHONE-360,,GetProductReviews,Unknown,False,False,False,False,False,False
Let me see opinions from owners of TABLET-8.,Product,Unknown,GetProductReviews,Unknown,/products/reviews,Unknown,productId=TABLET-8,,GetProductReviews,Unknown,False,False,False,False,False,False
"Before buying CAMERA-DSLR, what is the crowd verdict?",Product,Order,GetProductReviews,CreateOrder,/products/reviews,/orders/create,productId=CAMERA-DSLR,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,GetProductReviews,CreateOrder,False,False,False,False,False,False
Does VACUUM-3000 have happy owners or complaints?,Product,Unknown,GetProductReviews,Unknown,/products/reviews,Unknown,productId=VACUUM-3000,,GetProductReviews,Unknown,False,False,False,False,False,False
Create an order for 2 units of PROD-001 for user U-555.,Order,Unknown,CreateOrder,Unknown,/orders/create,Unknown,userId=U-555;productId=PROD-001;quantity=2,,CreateOrder,Unknown,False,False,False,False,False,False
Place an order for user ACC-102: 1 of SKU-840.,Order,Unknown,CreateOrder,Unknown,/orders/create,Unknown,userId=ACC-102;productId=SKU-840;quantity=1,,CreateOrder,Unknown,False,False,False,False,False,False
Create order for 3 units of ITEM-770 for account USER-33.,Order,Order,CreateOrder,CreateOrder,/orders/create,/orders/create,userId=USER-33;productId=ITEM-770;quantity=3,userId=UNKNOWN;productId=UNKNOWN;quantity=3,CreateOrder,CreateOrder,True,True,True,False,True,False
Place a purchase order for 5 of GADGET-X under U-987.,Order,Order,CreateOrder,CreateOrder,/orders/create,/orders/create,userId=U-987;productId=GADGET-X;quantity=5,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,CreateOrder,CreateOrder,True,True,True,False,True,False
Start and create a new order for user ACCT-500 with 1 of LAPTOP-22.,Order,Order,CreateOrder,CreateOrder,/orders/create,/orders/create,userId=ACCT-500;productId=LAPTOP-22;quantity=1,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,CreateOrder,CreateOrder,True,True,True,False,True,False
I want to place an order for 4 of BOOK-55 for user USR-77.,Order,Unknown,CreateOrder,Unknown,/orders/create,Unknown,userId=USR-77;productId=BOOK-55;quantity=4,,CreateOrder,Unknown,False,False,False,False,False,False
Create a purchase for BUYER-123: 2 pieces of MODEL-ZX.,Order,Order,CreateOrder,CreateOrder,/orders/create,/orders/create,userId=BUYER-123;productId=MODEL-ZX;quantity=2,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,CreateOrder,CreateOrder,True,True,True,False,True,False
Place an order for MBR-09: 1 unit of SHOE-RED.,Order,Unknown,CreateOrder,Unknown,/orders/create,Unknown,userId=MBR-09;productId=SHOE-RED;quantity=1,,CreateOrder,Unknown,False,False,False,False,False,False
Put through 10 x ITEM-BULK on account CORP-007.,Order,Unknown,CreateOrder,Unknown,/orders/create,Unknown,userId=CORP-007;productId=ITEM-BULK;quantity=10,,CreateOrder,Unknown,False,False,False,False,False,False
Set up a cart for USER-X44 containing 6 of ELEC-90.,Order,Calendar,CreateOrder,CreateMeeting,/orders/create,/calendar/meetings/create,userId=USER-X44;productId=ELEC-90;quantity=6,title=UNKNOWN;date=UNKNOWN;time=UNKNOWN,CreateOrder,CreateMeeting,False,False,False,False,False,False
Have 3 of TABLET-NEW sent to account ACC-66.,Order,Unknown,CreateOrder,Unknown,/orders/create,Unknown,userId=ACC-66;productId=TABLET-NEW;quantity=3,,CreateOrder,Unknown,False,False,False,False,False,False
"For UID-2048, make the system buy 1 of CAMERA-4K.",Order,Order,CreateOrder,CreateOrder,/orders/create,/orders/create,userId=UID-2048;productId=CAMERA-4K;quantity=1,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,CreateOrder,CreateOrder,True,True,True,False,True,False
Cancel my order ORD-3391.,Order,Unknown,CancelOrder,Unknown,/orders/cancel,Unknown,orderId=ORD-3391,,CancelOrder,Unknown,False,False,False,False,False,False
I need to cancel order ID ORDER-8820.,Order,Order,CancelOrder,CancelOrder,/orders/cancel,/orders/cancel,orderId=ORDER-8820,orderId=UNKNOWN,CancelOrder,CancelOrder,True,True,True,False,True,False
Please cancel the purchase with order code OC-5544.,Order,Order,CancelOrder,CreateOrder,/orders/cancel,/orders/create,orderId=OC-5544,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,CancelOrder,CreateOrder,True,False,False,False,False,False
Cancel order ORD-7001 before it ships.,Order,Order,CancelOrder,CancelOrder,/orders/cancel,/orders/cancel,orderId=ORD-7001,orderId=UNKNOWN,CancelOrder,CancelOrder,True,True,True,False,True,False
Void and cancel order number REF-1129.,Order,Order,CancelOrder,CancelOrder,/orders/cancel,/orders/cancel,orderId=REF-1129,orderId=UNKNOWN,CancelOrder,CancelOrder,True,True,True,False,True,False
I changed my mind; cancel purchase order 993-XY.,Order,Order,CancelOrder,CreateOrder,/orders/cancel,/orders/create,orderId=993-XY,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,CancelOrder,CreateOrder,True,False,False,False,False,False
"Cancel the order I placed, CART-55K.",Order,Unknown,CancelOrder,Unknown,/orders/cancel,Unknown,orderId=CART-55K,,CancelOrder,Unknown,False,False,False,False,False,False
Please cancel order ORD-20001 from processing.,Order,Order,CancelOrder,CancelOrder,/orders/cancel,/orders/cancel,orderId=ORD-20001,orderId=UNKNOWN,CancelOrder,CancelOrder,True,True,True,False,True,False
Do not let order BILL-3320 go out.,Order,Unknown,CancelOrder,Unknown,/orders/cancel,Unknown,orderId=BILL-3320,,CancelOrder,Unknown,False,False,False,False,False,False
Block shipment for PO-4488; I do not want it.,Order,Order,CancelOrder,TrackOrder,/orders/cancel,/orders/track,orderId=PO-4488,orderId=UNKNOWN,CancelOrder,TrackOrder,True,False,False,False,False,False
I made a mistake with TXN-662; please make it go away.,Order,Unknown,CancelOrder,Unknown,/orders/cancel,Unknown,orderId=TXN-662,,CancelOrder,Unknown,False,False,False,False,False,False
"Before dispatch, OID-1192 should not continue.",Order,Unknown,CancelOrder,Unknown,/orders/cancel,Unknown,orderId=OID-1192,,CancelOrder,Unknown,False,False,False,False,False,False
Track order ORD-4422.,Order,Order,TrackOrder,TrackOrder,/orders/track,/orders/track,orderId=ORD-4422,orderId=UNKNOWN,TrackOrder,TrackOrder,True,True,True,False,True,False
Where is my order ORDER-5510 right now?,Order,Order,TrackOrder,TrackOrder,/orders/track,/orders/track,orderId=ORDER-5510,orderId=UNKNOWN,TrackOrder,TrackOrder,True,True,True,False,True,False
Show tracking info for order TRK-8821.,Order,Unknown,TrackOrder,Unknown,/orders/track,Unknown,orderId=TRK-8821,,TrackOrder,Unknown,False,False,False,False,False,False
Check the delivery status of order ORD-4400.,Order,Order,TrackOrder,TrackOrder,/orders/track,/orders/track,orderId=ORD-4400,orderId=UNKNOWN,TrackOrder,TrackOrder,True,True,True,False,True,False
Track the package for order REF-9902.,Order,Order,TrackOrder,TrackOrder,/orders/track,/orders/track,orderId=REF-9902,orderId=UNKNOWN,TrackOrder,TrackOrder,True,True,True,False,True,False
Where is my package for order SHIP-7731?,Order,Order,TrackOrder,TrackOrder,/orders/track,/orders/track,orderId=SHIP-7731,orderId=UNKNOWN,TrackOrder,TrackOrder,True,True,True,False,True,False
Track order ORDER-6612; has it shipped yet?,Order,Order,TrackOrder,TrackOrder,/orders/track,/orders/track,orderId=ORDER-6612,orderId=UNKNOWN,TrackOrder,TrackOrder,True,True,True,False,True,False
Tell me the tracking progress for order TXN-441.,Order,Unknown,TrackOrder,Unknown,/orders/track,Unknown,orderId=TXN-441,,TrackOrder,Unknown,False,False,False,False,False,False
When will PKG-0099 arrive?,Order,Unknown,TrackOrder,Unknown,/orders/track,Unknown,orderId=PKG-0099,,TrackOrder,Unknown,False,False,False,False,False,False
Give me the latest delivery update on ORD-11230.,Order,Unknown,TrackOrder,Unknown,/orders/track,Unknown,orderId=ORD-11230,,TrackOrder,Unknown,False,False,False,False,False,False
Is PCKG-3301 close to my address yet?,Order,Unknown,TrackOrder,Unknown,/orders/track,Unknown,orderId=PCKG-3301,,TrackOrder,Unknown,False,False,False,False,False,False
What is happening with the parcel CART-880 now?,Order,Unknown,TrackOrder,Unknown,/orders/track,Unknown,orderId=CART-880,,TrackOrder,Unknown,False,False,False,False,False,False
Return order ORD-5521 because arrived damaged.,Order,Order,ReturnOrder,ReturnOrder,/orders/return,/orders/return,orderId=ORD-5521;reason=arrived damaged,orderId=UNKNOWN;reason=damaged,ReturnOrder,ReturnOrder,True,True,True,False,True,False
Initiate a return for order REF-7701.,Order,Order,ReturnOrder,ReturnOrder,/orders/return,/orders/return,orderId=REF-7701,orderId=UNKNOWN,ReturnOrder,ReturnOrder,True,True,True,False,True,False
Please process a return for purchase order RTN-1109 because wrong item delivered.,Order,Order,ReturnOrder,CreateOrder,/orders/return,/orders/create,orderId=RTN-1109;reason=wrong item delivered,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,ReturnOrder,CreateOrder,True,False,False,False,False,False
I want to return order ORD-4455 because doesn't fit.,Order,Order,ReturnOrder,ReturnOrder,/orders/return,/orders/return,orderId=ORD-4455;reason=doesn't fit,orderId=UNKNOWN,ReturnOrder,ReturnOrder,True,True,True,False,True,False
Start a return request for order TXN-8804.,Order,Order,ReturnOrder,ReturnOrder,/orders/return,/orders/return,orderId=TXN-8804,orderId=UNKNOWN,ReturnOrder,ReturnOrder,True,True,True,False,True,False
I need to return purchase ORD-3300 because poor quality.,Order,Order,ReturnOrder,CreateOrder,/orders/return,/orders/create,orderId=ORD-3300;reason=poor quality,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,ReturnOrder,CreateOrder,True,False,False,False,False,False
Can you create a return for order CART-220 because not satisfied?,Order,Order,ReturnOrder,ReturnOrder,/orders/return,/orders/return,orderId=CART-220;reason=not satisfied,orderId=UNKNOWN,ReturnOrder,ReturnOrder,True,True,True,False,True,False
Return order ID PKG-5599 for me.,Order,Order,ReturnOrder,ReturnOrder,/orders/return,/orders/return,orderId=PKG-5599,orderId=UNKNOWN,ReturnOrder,ReturnOrder,True,True,True,False,True,False
This purchase ORD-7762 needs to go back due to defective item.,Order,Order,ReturnOrder,CreateOrder,/orders/return,/orders/create,orderId=ORD-7762;reason=defective item,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,ReturnOrder,CreateOrder,True,False,False,False,False,False
I cannot keep BILL-990 since it is not as described.,Order,Unknown,ReturnOrder,Unknown,/orders/return,Unknown,orderId=BILL-990;reason=not as described,,ReturnOrder,Unknown,False,False,False,False,False,False
Help me undo delivery ORD-13001.,Order,Unknown,ReturnOrder,Unknown,/orders/return,Unknown,orderId=ORD-13001,,ReturnOrder,Unknown,False,False,False,False,False,False
The item from SHIP-554 is not staying with me - no longer needed.,Order,Unknown,ReturnOrder,Unknown,/orders/return,Unknown,orderId=SHIP-554;reason=no longer needed,,ReturnOrder,Unknown,False,False,False,False,False,False
Show me the order details for ORD-8810.,Order,Order,GetOrderDetails,GetOrderDetails,/orders/details,/orders/details,orderId=ORD-8810,orderId=UNKNOWN,GetOrderDetails,GetOrderDetails,True,True,True,False,True,False
What is in order ORDER-9921?,Order,Unknown,GetOrderDetails,Unknown,/orders/details,Unknown,orderId=ORDER-9921,,GetOrderDetails,Unknown,False,False,False,False,False,False
Give me the full information for order ORD-4450.,Order,Product,GetOrderDetails,GetProductDetails,/orders/details,/products/details,orderId=ORD-4450,productId=UNKNOWN,GetOrderDetails,GetProductDetails,False,False,False,False,False,False
Display the order details and summary for REF-5513.,Order,Order,GetOrderDetails,GetOrderDetails,/orders/details,/orders/details,orderId=REF-5513,orderId=UNKNOWN,GetOrderDetails,GetOrderDetails,True,True,True,False,True,False
Fetch order details for TXN-7721.,Order,Order,GetOrderDetails,GetOrderDetails,/orders/details,/orders/details,orderId=TXN-7721,orderId=UNKNOWN,GetOrderDetails,GetOrderDetails,True,True,True,False,True,False
Show order information for what I bought in CART-9902.,Order,Order,GetOrderDetails,GetOrderDetails,/orders/details,/orders/details,orderId=CART-9902,orderId=UNKNOWN,GetOrderDetails,GetOrderDetails,True,True,True,False,True,False
List the order details for items included in PKG-1103.,Order,Order,GetOrderDetails,GetOrderDetails,/orders/details,/orders/details,orderId=PKG-1103,orderId=UNKNOWN,GetOrderDetails,GetOrderDetails,True,True,True,False,True,False
Pull up the order information for BILL-0055.,Order,Unknown,GetOrderDetails,Unknown,/orders/details,Unknown,orderId=BILL-0055,,GetOrderDetails,Unknown,False,False,False,False,False,False
I want to review purchase ORD-2281.,Order,Order,GetOrderDetails,CreateOrder,/orders/details,/orders/create,orderId=ORD-2281,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,GetOrderDetails,CreateOrder,True,False,False,False,False,False
What did SHIP-7700 contain?,Order,Unknown,GetOrderDetails,Unknown,/orders/details,Unknown,orderId=SHIP-7700,,GetOrderDetails,Unknown,False,False,False,False,False,False
Remind me what was purchased under ORD-22099.,Order,Order,GetOrderDetails,CreateOrder,/orders/details,/orders/create,orderId=ORD-22099,userId=UNKNOWN;productId=UNKNOWN;quantity=UNKNOWN,GetOrderDetails,CreateOrder,True,False,False,False,False,False
Open the record for OID-663 so I can see the contents.,Order,Unknown,GetOrderDetails,Unknown,/orders/details,Unknown,orderId=OID-663,,GetOrderDetails,Unknown,False,False,False,False,False,False
Schedule a team standup on Monday at 9am.,Calendar,Calendar,CreateMeeting,CreateMeeting,/calendar/meetings/create,/calendar/meetings/create,title=team standup;date=Monday;time=9am,title=UNKNOWN;date=Monday;time=9am,CreateMeeting,CreateMeeting,True,True,True,False,True,False
Create a meeting called marketing team meeting for June 25 at 2pm.,Calendar,Unknown,CreateMeeting,Unknown,/calendar/meetings/create,Unknown,title=marketing team meeting;date=June 25;time=2pm;participant=marketing team,,CreateMeeting,Unknown,False,False,False,False,False,False
Schedule calendar time for product review session on July 1 at 10:30am.,Calendar,Calendar,CreateMeeting,CreateMeeting,/calendar/meetings/create,/calendar/meetings/create,title=product review session;date=July 1;time=10:30am,title=UNKNOWN;date=UNKNOWN;time=30am,CreateMeeting,CreateMeeting,True,True,True,False,True,False
Create a calendar event for client call with Sarah on Friday at 3pm.,Calendar,Unknown,CreateMeeting,Unknown,/calendar/meetings/create,Unknown,title=client call;date=Friday;time=3pm;participant=Sarah,,CreateMeeting,Unknown,False,False,False,False,False,False
Add and schedule the board meeting on August 10 at 11am.,Calendar,Weather,CreateMeeting,GetWindSpeed,/calendar/meetings/create,/weather/wind,title=board meeting;date=August 10;time=11am,city=UNKNOWN,CreateMeeting,GetWindSpeed,False,False,False,False,False,False
Please create one-on-one with manager on my calendar for tomorrow at 4pm.,Calendar,Weather,CreateMeeting,GetForecast,/calendar/meetings/create,/weather/forecast,title=one-on-one with manager;date=tomorrow;time=4pm;participant=manager,city=UNKNOWN;date=tomorrow,CreateMeeting,GetForecast,False,False,False,False,False,False
Schedule the event sprint planning for next Tuesday at 9:00am.,Calendar,Calendar,CreateMeeting,CreateMeeting,/calendar/meetings/create,/calendar/meetings/create,title=sprint planning;date=next Tuesday;time=9:00am,title=UNKNOWN;date=next Tuesday;time=00am,CreateMeeting,CreateMeeting,True,True,True,False,True,False
"Create a meeting entry: design review with UX team, Thursday at 1pm.",Calendar,Unknown,CreateMeeting,Unknown,/calendar/meetings/create,Unknown,title=design review;date=Thursday;time=1pm;participant=UX team,,CreateMeeting,Unknown,False,False,False,False,False,False
Block time for Q3 Demo on September 5 at noon.,Calendar,Unknown,CreateMeeting,Unknown,/calendar/meetings/create,Unknown,title=Q3 Demo;date=September 5;time=noon,,CreateMeeting,Unknown,False,False,False,False,False,False
"Put down lunch interview with Alex for next Wednesday, 12:30pm.",Calendar,Unknown,CreateMeeting,Unknown,/calendar/meetings/create,Unknown,title=lunch interview;date=next Wednesday;time=12:30pm;participant=Alex,,CreateMeeting,Unknown,False,False,False,False,False,False
Make sure I have Onboarding Intro October 3 at 8am.,Calendar,Unknown,CreateMeeting,Unknown,/calendar/meetings/create,Unknown,title=Onboarding Intro;date=October 3;time=8am,,CreateMeeting,Unknown,False,False,False,False,False,False
Save catch-up call with sales team in my day on November 7 at 3:30pm.,Calendar,Unknown,CreateMeeting,Unknown,/calendar/meetings/create,Unknown,title=catch-up call;date=November 7;time=3:30pm;participant=sales team,,CreateMeeting,Unknown,False,False,False,False,False,False
Cancel meeting MTG-001.,Calendar,Calendar,CancelMeeting,CancelMeeting,/calendar/meetings/cancel,/calendar/meetings/cancel,meetingId=MTG-001,meetingId=UNKNOWN,CancelMeeting,CancelMeeting,True,True,True,False,True,False
