query,true_domain,original_pred_domain,corrected_pred_domain,true_intent,original_pred_intent,corrected_pred_intent,true_endpoint,original_pred_endpoint,corrected_pred_endpoint,true_parameters,original_pred_parameters,corrected_pred_parameters,true_ontology,original_pred_ontology,corrected_pred_ontology,llm_ontology_domain_correct,llm_ontology_intent_correct,llm_ontology_endpoint_correct,llm_ontology_parameter_correct,llm_ontology_ontology_correct,llm_ontology_end_to_end_correct,ontology_validation_valid,has_hallucination,has_missing_parameters,ontology_inconsistent,missing_parameters,hallucinated_parameters
Book flight QR100 and put Omar Abdullah on it.,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=QR100;passengerName=Omar Abdullah,flightNumber=QR100;passengerName=Omar Abdullah,flightNumber=QR100;passengerName=Omar Abdullah,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flightNumber
Register Sarah O'Brien for AA77.,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=AA77;passengerName=Sarah O'Brien,passengerName=Sarah O'Brien;flightNumber=AA77,passengerName=Sarah O'Brien;flightNumber=AA77,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flightNumber
Go ahead with UA990; passenger name is Carlos Rivera.,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=UA990;passengerName=Carlos Rivera,flightNumber=UA990;passengerName=Carlos Rivera,flightNumber=UA990;passengerName=Carlos Rivera,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flightNumber
Make Kenji Tanaka's seat official on IB640.,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=IB640;passengerName=Kenji Tanaka,passenger=Kenji Tanaka;flight=IB640,passengerName=Kenji Tanaka;flight=IB640,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flight
Finish the travel purchase for Fatima Al-Amin on EY350.,Travel,Travel,Travel,BookFlight,BookFlight,BookFlight,/travel/flights/book,/travel/flights/book,/travel/flights/book,flightId=EY350;passengerName=Fatima Al-Amin,passengerName=Fatima Al-Amin;flightNumber=EY350,passengerName=Fatima Al-Amin;flightNumber=EY350,BookFlight,BookFlight,BookFlight,True,True,True,False,True,False,False,True,True,True,flightId,flightNumber
Cancel flight booking B00123.,Travel,Travel,Travel,CancelFlight,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,/travel/flights/cancel,bookingId=B00123,bookingId=B00123,bookingId=B00123,CancelFlight,CancelFlight,CancelFlight,True,True,True,True,True,True,True,False,False,False,,
I need to cancel my flight reservation FLT-8821.,Travel,Travel,Travel,CancelFlight,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,/travel/flights/cancel,bookingId=FLT-8821,flightId=FLT-8821,flightId=FLT-8821,CancelFlight,CancelFlight,CancelFlight,True,True,True,False,True,False,False,True,True,True,bookingId,flightId
Please cancel the flight tied to booking TKT-990.,Travel,Travel,Travel,CancelFlight,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,/travel/flights/cancel,bookingId=TKT-990,bookingId=TKT-990,bookingId=TKT-990,CancelFlight,CancelFlight,CancelFlight,True,True,True,True,True,True,True,False,False,False,,
Cancel my upcoming flight with booking ID BK-4567.,Travel,Travel,Travel,CancelFlight,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,/travel/flights/cancel,bookingId=BK-4567,bookingId=BK-4567,bookingId=BK-4567,CancelFlight,CancelFlight,CancelFlight,True,True,True,True,True,True,True,False,False,False,,
Cancel the flight booking reference 20039.,Travel,Travel,Travel,CancelFlight,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,/travel/flights/cancel,bookingId=20039,bookingReference=20039,bookingReference=20039,CancelFlight,CancelFlight,CancelFlight,True,True,True,False,True,False,False,True,True,True,bookingId,bookingReference
My travel changed; cancel flight booking REF-7732.,Travel,Travel,Travel,CancelFlight,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,/travel/flights/cancel,bookingId=REF-7732,bookingReference=REF-7732,bookingReference=REF-7732,CancelFlight,CancelFlight,CancelFlight,True,True,True,False,True,False,False,True,True,True,bookingId,bookingReference
"I cannot take the flight, so cancel booking 55AB-X.",Travel,Travel,Travel,CancelFlight,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,/travel/flights/cancel,bookingId=55AB-X,bookingId=55AB-X,bookingId=55AB-X,CancelFlight,CancelFlight,CancelFlight,True,True,True,True,True,True,True,False,False,False,,
Cancel flight reservation TRIP-1820 for me.,Travel,Travel,Travel,CancelFlight,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,/travel/flights/cancel,bookingId=TRIP-1820,reservationId=TRIP-1820,bookingId=TRIP-1820,CancelFlight,CancelFlight,CancelFlight,True,True,True,True,True,True,True,False,False,False,,
Stop the ticket associated with PNR-3344.,Travel,Travel,Travel,CancelFlight,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,/travel/flights/cancel,bookingId=PNR-3344,pnr=PNR-3344,pnr=PNR-3344,CancelFlight,CancelFlight,CancelFlight,True,True,True,False,True,False,False,True,True,True,bookingId,pnr
I will not be flying on CNX-001; close it out.,Travel,Travel,Travel,CancelFlight,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,/travel/flights/cancel,bookingId=CNX-001,flightId=CNX-001,flightId=CNX-001,CancelFlight,CancelFlight,CancelFlight,True,True,True,False,True,False,False,True,True,True,bookingId,flightId
"Plans changed, so FLIGHT-66Z needs to go away.",Travel,Travel,Travel,CancelFlight,CancelFlight,CancelFlight,/travel/flights/cancel,/travel/flights/cancel,/travel/flights/cancel,bookingId=FLIGHT-66Z,flightId=FLIGHT-66Z,flightId=FLIGHT-66Z,CancelFlight,CancelFlight,CancelFlight,True,True,True,False,True,False,False,True,True,True,bookingId,flightId
Can you make sure VF-2209 is not active anymore?,Travel,Order,Order,CancelFlight,CancelOrder,CancelOrder,/travel/flights/cancel,/orders/cancel,/orders/cancel,bookingId=VF-2209,orderId=VF-2209,orderId=VF-2209,CancelFlight,CancelOrder,CancelOrder,False,False,False,False,False,False,True,False,False,False,,
Find hotels in Paris for 3 nights starting June 20.,Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=Paris;checkIn=June 20;nights=3,location=Paris;duration=3;start_date=June 20,city=Paris;nights=3;start_date=June 20,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,checkIn,start_date
Search hotel options in Tokyo from July 5 for 7 nights.,Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=Tokyo;checkIn=July 5;nights=7,location=Tokyo;check_in=July 5;duration=7,city=Tokyo;check_in=July 5;nights=7,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,checkIn,check_in
Show available hotels in Dubai checking in August 10 for 5 nights.,Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=Dubai;checkIn=August 10;nights=5,location=Dubai;check_in=August 10;duration=5,city=Dubai;check_in=August 10;nights=5,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,checkIn,check_in
I need a hotel in New York from next Monday for 2 nights.,Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=New York;checkIn=next Monday;nights=2,location=New York;check_in=UNKNOWN;check_out=UNKNOWN;guests=UNKNOWN,city=New York;check_in=UNKNOWN;check_out=UNKNOWN;guests=UNKNOWN,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,"checkIn,nights","check_in,check_out,guests"
Look up hotel availability in Barcelona beginning September 1 for 4 nights.,Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=Barcelona;checkIn=September 1;nights=4,location=Barcelona;check_in=September 1;check_out=September 5;number_of_nights=4,city=Barcelona;check_in=September 1;check_out=September 5;number_of_nights=4,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,"checkIn,nights","check_in,check_out,number_of_nights"
Any hotel rooms in Rome from October 10 for 6 nights?,Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=Rome;checkIn=October 10;nights=6,location=Rome;check_in=2023-10-10;check_out=2023-10-16;number_of_nights=6,city=Rome;check_in=2023-10-10;check_out=2023-10-16;number_of_nights=6,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,"checkIn,nights","check_in,check_out,number_of_nights"
"Check hotel stays in Singapore, starting November 15, for 3 nights.",Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=Singapore;checkIn=November 15;nights=3,location=Singapore;check_in=November 15;nights=3,city=Singapore;check_in=November 15;nights=3,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,checkIn,check_in
What hotel options are open in Istanbul on this Friday for 5 nights?,Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=Istanbul;checkIn=this Friday;nights=5,location=Istanbul;check_in=UNKNOWN;check_out=UNKNOWN;number_of_nights=5,city=Istanbul;check_in=UNKNOWN;check_out=UNKNOWN;number_of_nights=5,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,"checkIn,nights","check_in,check_out,number_of_nights"
Any rooms around Bali for 10 nights after December 23?,Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=Bali;checkIn=December 23;nights=10,location=Bali;check_in=2023-12-23;check_out=2024-01-02;duration=10,city=Bali;check_in=2023-12-23;check_out=2024-01-02;nights=10,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,checkIn,"check_in,check_out"
Where can I sleep in Amsterdam from January 3 for 2 nights?,Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=Amsterdam;checkIn=January 3;nights=2,location=Amsterdam;check_in=2024-01-03;check_out=2024-01-05;guests=UNKNOWN,city=Amsterdam;check_in=2024-01-03;check_out=2024-01-05;guests=UNKNOWN,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,"checkIn,nights","check_in,check_out,guests"
"Help me sort lodging in Sydney, March 15, for 8 nights.",Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=Sydney;checkIn=March 15;nights=8,location=Sydney;check_in=2024-03-15;check_out=2024-03-23;number_of_nights=8,city=Sydney;check_in=2024-03-15;check_out=2024-03-23;number_of_nights=8,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,"checkIn,nights","check_in,check_out,number_of_nights"
I need somewhere in Marrakech for 4 nights beginning April 5.,Travel,Travel,Travel,SearchHotel,SearchHotel,SearchHotel,/travel/hotels/search,/travel/hotels/search,/travel/hotels/search,city=Marrakech;checkIn=April 5;nights=4,location=Marrakech;check_in=2023-04-05;check_out=2023-04-09;number_of_nights=4,city=Marrakech;check_in=2023-04-05;check_out=2023-04-09;number_of_nights=4,SearchHotel,SearchHotel,SearchHotel,True,True,True,False,True,False,False,True,True,True,"checkIn,nights","check_in,check_out,number_of_nights"
Book hotel H-5520 for James Miller for 3 nights.,Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=H-5520;guestName=James Miller;nights=3,hotelId=H-5520;guestName=James Miller;nights=3,hotelId=H-5520;guestName=James Miller;nights=3,BookHotel,BookHotel,BookHotel,True,True,True,True,True,True,True,False,False,False,,
Reserve hotel GRAND-09 for Ana Petrova for 2 nights.,Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=GRAND-09;guestName=Ana Petrova;nights=2,hotelId=GRAND-09;guestName=Ana Petrova;nights=2,hotelId=GRAND-09;guestName=Ana Petrova;nights=2,BookHotel,BookHotel,BookHotel,True,True,True,True,True,True,True,False,False,False,,
Please book hotel HTL-330 under Yuki Nakamura for 5 nights.,Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=HTL-330;guestName=Yuki Nakamura;nights=5,hotelId=HTL-330;guestName=Yuki Nakamura;nights=5,hotelId=HTL-330;guestName=Yuki Nakamura;nights=5,BookHotel,BookHotel,BookHotel,True,True,True,True,True,True,True,False,False,False,,
Confirm the hotel booking at AZURE-12 for Michael Brown for 1 night.,Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=AZURE-12;guestName=Michael Brown;nights=1,hotelId=AZURE-12;guestName=Michael Brown;duration=1,hotelId=AZURE-12;guestName=Michael Brown;nights=1,BookHotel,BookHotel,BookHotel,True,True,True,True,True,True,True,False,False,False,,
I want to reserve hotel PLAZA-77 for Leila Ahmadi for 7 nights.,Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=PLAZA-77;guestName=Leila Ahmadi;nights=7,hotel=PLAZA-77;guest=Leila Ahmadi;nights=7,hotel=PLAZA-77;guestName=Leila Ahmadi;nights=7,BookHotel,BookHotel,BookHotel,True,True,True,False,True,False,False,True,True,True,hotelId,hotel
Can you book hotel HILTON-X for guest Daniel Kim for 4 nights?,Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=HILTON-X;guestName=Daniel Kim;nights=4,hotel=HILTON-X;guest=Daniel Kim;nights=4,hotel=HILTON-X;guestName=Daniel Kim;nights=4,BookHotel,BookHotel,BookHotel,True,True,True,False,True,False,False,True,True,True,hotelId,hotel
"Reserve hotel RESORT-88; guest name Sophie Martin, stay length 6 nights.",Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=RESORT-88;guestName=Sophie Martin;nights=6,hotel=RESORT-88;guest_name=Sophie Martin;stay_length=6,hotel=RESORT-88;guestName=Sophie Martin;stay_length=6,BookHotel,BookHotel,BookHotel,True,True,True,False,True,False,False,True,True,True,"hotelId,nights","hotel,stay_length"
Book hotel INN-200 so Ravi Patel has it for 3 nights.,Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=INN-200;guestName=Ravi Patel;nights=3,hotelId=INN-200;guestName=Ravi Patel;nights=3,hotelId=INN-200;guestName=Ravi Patel;nights=3,BookHotel,BookHotel,BookHotel,True,True,True,True,True,True,True,False,False,False,,
"Hold a room at SUITES-55 for Elena Popescu, 2 nights.",Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=SUITES-55;guestName=Elena Popescu;nights=2,hotel=SUITES-55;guest=Elena Popescu;nights=2,hotel=SUITES-55;guestName=Elena Popescu;nights=2,BookHotel,BookHotel,BookHotel,True,True,True,False,True,False,False,True,True,True,hotelId,hotel
Finalize Chris Evans's stay at BEACH-40 for 10 nights.,Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=BEACH-40;guestName=Chris Evans;nights=10,hotel=BEACH-40;duration=10;guest=Chris Evans,hotel=BEACH-40;nights=10;guestName=Chris Evans,BookHotel,BookHotel,BookHotel,True,True,True,False,True,False,False,True,True,True,hotelId,hotel
Make sure Amara Diallo has lodging at MANOR-15 for 3 nights.,Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=MANOR-15;guestName=Amara Diallo;nights=3,hotel=MANOR-15;nights=3;guest=Amara Diallo,hotel=MANOR-15;nights=3;guestName=Amara Diallo,BookHotel,BookHotel,BookHotel,True,True,True,False,True,False,False,True,True,True,hotelId,hotel
Lock in VISTA-22 for Omar Hassan over 5 nights.,Travel,Travel,Travel,BookHotel,BookHotel,BookHotel,/travel/hotels/book,/travel/hotels/book,/travel/hotels/book,hotelId=VISTA-22;guestName=Omar Hassan;nights=5,hotelId=VISTA-22;guestName=Omar Hassan;nights=5,hotelId=VISTA-22;guestName=Omar Hassan;nights=5,BookHotel,BookHotel,BookHotel,True,True,True,True,True,True,True,False,False,False,,
Search product options for wireless headphones under $100.,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=wireless headphones;maxPrice=100,query=wired headphones;max_price=100,keyword=wired headphones;max_price=100,SearchProduct,SearchProduct,SearchProduct,True,True,True,False,True,False,False,True,False,True,,max_price
Find me product results for running shoes in sports.,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=running shoes;category=sports,query=running shoes;category=sports,keyword=running shoes;category=sports,SearchProduct,SearchProduct,SearchProduct,True,True,True,True,True,True,True,False,False,False,,
Show products matching laptop under $800.,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=laptop;maxPrice=800,query=laptop;max_price=800,keyword=laptop;max_price=800,SearchProduct,SearchProduct,SearchProduct,True,True,True,True,True,True,False,True,False,True,,max_price
Look up product listings for coffee maker in kitchen.,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=coffee maker;category=kitchen,query=coffee maker;category=kitchen,keyword=coffee maker;category=kitchen,SearchProduct,SearchProduct,SearchProduct,True,True,True,True,True,True,True,False,False,False,,
Browse products for yoga mat under $50.,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=yoga mat;maxPrice=50,query=yoga mat;max_price=50,keyword=yoga mat;max_price=50,SearchProduct,SearchProduct,SearchProduct,True,True,True,True,True,True,False,True,False,True,,max_price
I am looking for product choices: gaming chair.,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=gaming chair,query=gaming chair,keyword=gaming chair,SearchProduct,SearchProduct,SearchProduct,True,True,True,True,True,True,True,False,False,False,,
What product options do you have for noise-cancelling earbuds in electronics?,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=noise-cancelling earbuds;category=electronics,query=noise-cancelling earbuds;category=electronics,keyword=noise-cancelling earbuds;category=electronics,SearchProduct,SearchProduct,SearchProduct,True,True,True,True,True,True,True,False,False,False,,
Pull up product matches for ergonomic office desk under $300.,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=ergonomic office desk;maxPrice=300,query=ergonomic office desk;max_price=300,keyword=ergonomic office desk;max_price=300,SearchProduct,SearchProduct,SearchProduct,True,True,True,True,True,True,False,True,False,True,,max_price
Help me shop for winter jacket in clothing.,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=winter jacket;category=clothing,query=winter jacket;category=clothing,keyword=winter jacket;category=clothing,SearchProduct,SearchProduct,SearchProduct,True,True,True,True,True,True,True,False,False,False,,
Can you show alternatives for portable Bluetooth speaker?,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=portable Bluetooth speaker,query=portable Bluetooth speaker,keyword=portable Bluetooth speaker,SearchProduct,SearchProduct,SearchProduct,True,True,True,True,True,True,True,False,False,False,,
I need ideas for buying vitamin supplement in health under $30.,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=vitamin supplement;category=health;maxPrice=30,category=health;max_price=30,category=health;max_price=30,SearchProduct,SearchProduct,SearchProduct,True,True,True,False,True,False,False,True,True,True,keyword,max_price
Point me toward decent robot vacuum cleaner.,Product,Product,Product,SearchProduct,SearchProduct,SearchProduct,/products/search,/products/search,/products/search,keyword=robot vacuum cleaner,query=robot%20vacuum%20cleaner,keyword=robot%20vacuum%20cleaner,SearchProduct,SearchProduct,SearchProduct,True,True,True,False,True,False,True,False,False,False,,
Give me the product details for P-1023.,Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=P-1023,productId=P-1023,productId=P-1023,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,True,True,True,True,False,False,False,,
Show full information for product SKU-44891.,Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=SKU-44891,sku=SKU-44891,sku=SKU-44891,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,False,True,False,False,True,True,True,productId,sku
What are the product specs and details for PROD-772?,Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=PROD-772,productId=PROD-772,productId=PROD-772,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,True,True,True,True,False,False,False,,
Fetch product information for B00X9QH3EY.,Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=B00X9QH3EY,productId=B00X9QH3EY,productId=B00X9QH3EY,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,True,True,True,True,False,False,False,,
Open the details page for product ABC-990.,Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=ABC-990,productId=ABC-990,productId=ABC-990,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,True,True,True,True,False,False,False,,
Tell me the product information listed for ITEM-33052.,Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=ITEM-33052,productId=ITEM-33052,productId=ITEM-33052,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,True,True,True,True,False,False,False,,
I need details about product GADGET-7.,Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=GADGET-7,productId=GADGET-7,productId=GADGET-7,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,True,True,True,True,False,False,False,,
Pull up product details and specs for ZXY-001.,Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=ZXY-001,productId=ZXY-001,productId=ZXY-001,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,True,True,True,True,False,False,False,,
Let me inspect item CAT-5580 before buying.,Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=CAT-5580,productId=CAT-5580,productId=CAT-5580,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,True,True,True,True,False,False,False,,
Give me the full rundown on PR-4455.,Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=PR-4455,productId=PR-4455,productId=PR-4455,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,True,True,True,True,False,False,False,,
"Before I decide, what is TECH-2210 exactly?",Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=TECH-2210,productId=TECH-2210,productId=TECH-2210,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,True,True,True,True,False,False,False,,
Show what comes with MODEL-X99.,Product,Product,Product,GetProductDetails,GetProductDetails,GetProductDetails,/products/details,/products/details,/products/details,productId=MODEL-X99,model=MODEL-X99,model=MODEL-X99,GetProductDetails,GetProductDetails,GetProductDetails,True,True,True,False,True,False,False,True,True,True,productId,model
Compare product P-100 and product P-200.,Product,Product,Product,CompareProducts,CompareProducts,CompareProducts,/products/compare,/products/compare,/products/compare,productId1=P-100;productId2=P-200,productId1=P-100;productId2=P-200,productId1=P-100;productId2=P-200,CompareProducts,CompareProducts,CompareProducts,True,True,True,True,True,True,True,False,False,False,,
Compare product SKU-A001 with product SKU-B002.,Product,Product,Product,CompareProducts,CompareProducts,CompareProducts,/products/compare,/products/compare,/products/compare,productId1=SKU-A001;productId2=SKU-B002,sku1=SKU-A001;sku2=SKU-B002,sku1=SKU-A001;sku2=SKU-B002,CompareProducts,CompareProducts,CompareProducts,True,True,True,False,True,False,False,True,True,True,"productId1,productId2","sku1,sku2"
What is the difference between product ITEM-55 and product ITEM-66?,Product,Product,Product,CompareProducts,CompareProducts,CompareProducts,/products/compare,/products/compare,/products/compare,productId1=ITEM-55;productId2=ITEM-66,product1=ITEM-55;product2=ITEM-66,product1=ITEM-55;product2=ITEM-66,CompareProducts,CompareProducts,CompareProducts,True,True,True,False,True,False,False,True,True,True,"productId1,productId2","product1,product2"
Compare the features of PROD-300 versus PROD-400.,Product,Product,Product,CompareProducts,CompareProducts,CompareProducts,/products/compare,/products/compare,/products/compare,productId1=PROD-300;productId2=PROD-400,product1=PROD-300;product2=PROD-400,product1=PROD-300;product2=PROD-400,CompareProducts,CompareProducts,CompareProducts,True,True,True,False,True,False,False,True,True,True,"productId1,productId2","product1,product2"
Compare the product features of GAD-X1 and GAD-X2.,Product,Product,Product,CompareProducts,CompareProducts,CompareProducts,/products/compare,/products/compare,/products/compare,productId1=GAD-X1;productId2=GAD-X2,product1=GAD-X1;product2=GAD-X2,product1=GAD-X1;product2=GAD-X2,CompareProducts,CompareProducts,CompareProducts,True,True,True,False,True,False,False,True,True,True,"productId1,productId2","product1,product2"
Can you compare M-Alpha with M-Beta?,Product,Product,Product,CompareProducts,CompareProducts,CompareProducts,/products/compare,/products/compare,/products/compare,productId1=M-Alpha;productId2=M-Beta,product1=M-Alpha;product2=M-Beta,product1=M-Alpha;product2=M-Beta,CompareProducts,CompareProducts,CompareProducts,True,True,True,False,True,False,False,True,True,True,"productId1,productId2","product1,product2"
Show the product difference between LAPTOP-A and LAPTOP-B.,Product,Product,Product,CompareProducts,CompareProducts,CompareProducts,/products/compare,/products/compare,/products/compare,productId1=LAPTOP-A;productId2=LAPTOP-B,product1=LAPTOP-A;product2=LAPTOP-B,product1=LAPTOP-A;product2=LAPTOP-B,CompareProducts,CompareProducts,CompareProducts,True,True,True,False,True,False,False,True,True,True,"productId1,productId2","product1,product2"
Help me compare product IDs PH-1 and PH-2.,Product,Product,Product,CompareProducts,CompareProducts,CompareProducts,/products/compare,/products/compare,/products/compare,productId1=PH-1;productId2=PH-2,productId1=PH-1;productId2=PH-2,productId1=PH-1;productId2=PH-2,CompareProducts,CompareProducts,CompareProducts,True,True,True,True,True,True,True,False,False,False,,
How does CAM-100 stack up against CAM-200?,Product,Product,Product,CompareProducts,CompareProducts,CompareProducts,/products/compare,/products/compare,/products/compare,productId1=CAM-100;productId2=CAM-200,product1=CAM-100;product2=CAM-200,product1=CAM-100;product2=CAM-200,CompareProducts,CompareProducts,CompareProducts,True,True,True,False,True,False,False,True,True,True,"productId1,productId2","product1,product2"
