query,domain,intent,endpoint,parameters,ontology_concept
I cannot keep BILL-990 since it is not as described.,Order,ReturnOrder,/orders/return,orderId=BILL-990;reason=not as described,ReturnOrder
Help me undo delivery ORD-13001.,Order,ReturnOrder,/orders/return,orderId=ORD-13001,ReturnOrder
The item from SHIP-554 is not staying with me - no longer needed.,Order,ReturnOrder,/orders/return,orderId=SHIP-554;reason=no longer needed,ReturnOrder
Show me the order details for ORD-8810.,Order,GetOrderDetails,/orders/details,orderId=ORD-8810,GetOrderDetails
What is in order ORDER-9921?,Order,GetOrderDetails,/orders/details,orderId=ORDER-9921,GetOrderDetails
Give me the full information for order ORD-4450.,Order,GetOrderDetails,/orders/details,orderId=ORD-4450,GetOrderDetails
Display the order details and summary for REF-5513.,Order,GetOrderDetails,/orders/details,orderId=REF-5513,GetOrderDetails
Fetch order details for TXN-7721.,Order,GetOrderDetails,/orders/details,orderId=TXN-7721,GetOrderDetails
Show order information for what I bought in CART-9902.,Order,GetOrderDetails,/orders/details,orderId=CART-9902,GetOrderDetails
List the order details for items included in PKG-1103.,Order,GetOrderDetails,/orders/details,orderId=PKG-1103,GetOrderDetails
Pull up the order information for BILL-0055.,Order,GetOrderDetails,/orders/details,orderId=BILL-0055,GetOrderDetails
I want to review purchase ORD-2281.,Order,GetOrderDetails,/orders/details,orderId=ORD-2281,GetOrderDetails
What did SHIP-7700 contain?,Order,GetOrderDetails,/orders/details,orderId=SHIP-7700,GetOrderDetails
Remind me what was purchased under ORD-22099.,Order,GetOrderDetails,/orders/details,orderId=ORD-22099,GetOrderDetails
Open the record for OID-663 so I can see the contents.,Order,GetOrderDetails,/orders/details,orderId=OID-663,GetOrderDetails
Schedule a team standup on Monday at 9am.,Calendar,CreateMeeting,/calendar/meetings/create,title=team standup;date=Monday;time=9am,CreateMeeting
Create a meeting called marketing team meeting for June 25 at 2pm.,Calendar,CreateMeeting,/calendar/meetings/create,title=marketing team meeting;date=June 25;time=2pm;participant=marketing team,CreateMeeting
Schedule calendar time for product review session on July 1 at 10:30am.,Calendar,CreateMeeting,/calendar/meetings/create,title=product review session;date=July 1;time=10:30am,CreateMeeting
Create a calendar event for client call with Sarah on Friday at 3pm.,Calendar,CreateMeeting,/calendar/meetings/create,title=client call;date=Friday;time=3pm;participant=Sarah,CreateMeeting
Add and schedule the board meeting on August 10 at 11am.,Calendar,CreateMeeting,/calendar/meetings/create,title=board meeting;date=August 10;time=11am,CreateMeeting
Please create one-on-one with manager on my calendar for tomorrow at 4pm.,Calendar,CreateMeeting,/calendar/meetings/create,title=one-on-one with manager;date=tomorrow;time=4pm;participant=manager,CreateMeeting
Schedule the event sprint planning for next Tuesday at 9:00am.,Calendar,CreateMeeting,/calendar/meetings/create,title=sprint planning;date=next Tuesday;time=9:00am,CreateMeeting
"Create a meeting entry: design review with UX team, Thursday at 1pm.",Calendar,CreateMeeting,/calendar/meetings/create,title=design review;date=Thursday;time=1pm;participant=UX team,CreateMeeting
Block time for Q3 Demo on September 5 at noon.,Calendar,CreateMeeting,/calendar/meetings/create,title=Q3 Demo;date=September 5;time=noon,CreateMeeting
"Put down lunch interview with Alex for next Wednesday, 12:30pm.",Calendar,CreateMeeting,/calendar/meetings/create,title=lunch interview;date=next Wednesday;time=12:30pm;participant=Alex,CreateMeeting
Make sure I have Onboarding Intro October 3 at 8am.,Calendar,CreateMeeting,/calendar/meetings/create,title=Onboarding Intro;date=October 3;time=8am,CreateMeeting
Save catch-up call with sales team in my day on November 7 at 3:30pm.,Calendar,CreateMeeting,/calendar/meetings/create,title=catch-up call;date=November 7;time=3:30pm;participant=sales team,CreateMeeting
Cancel meeting MTG-001.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=MTG-001,CancelMeeting
I need to cancel the meeting with ID MEET-5521.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=MEET-5521,CancelMeeting
Please delete meeting CAL-330 from my calendar.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=CAL-330,CancelMeeting
Cancel calendar event EVT-884.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=EVT-884,CancelMeeting
Cancel the appointment meeting APPT-1199.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=APPT-1199,CancelMeeting
Delete meeting MTG-9920 from the schedule.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=MTG-9920,CancelMeeting
Cancel event SESS-3301 on my calendar.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=SESS-3301,CancelMeeting
Please cancel meeting MEET-7723; I cannot attend.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=MEET-7723,CancelMeeting
Erase appointment EVT-0050 from the calendar.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=EVT-0050,CancelMeeting
Drop event CONF-1415 for me.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=CONF-1415,CancelMeeting
BRK-2200 should not be on my day anymore.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=BRK-2200,CancelMeeting
Make SYNC-88 disappear from my agenda.,Calendar,CancelMeeting,/calendar/meetings/cancel,meetingId=SYNC-88,CancelMeeting
Update meeting MTG-001 to next Friday at 3pm.,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=MTG-001;date=next Friday;time=3pm,UpdateMeeting
Move meeting MEET-5521 to Wednesday.,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=MEET-5521;date=Wednesday,UpdateMeeting
Change meeting CAL-330 to 2pm.,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=CAL-330;time=2pm,UpdateMeeting
Update calendar event EVT-884 to July 10 at 10am.,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=EVT-884;date=July 10;time=10am,UpdateMeeting
Move calendar meeting APPT-1199 to Thursday at 4pm.,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=APPT-1199;date=Thursday;time=4pm,UpdateMeeting
Change the schedule for meeting MTG-9920 to September 15.,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=MTG-9920;date=September 15,UpdateMeeting
Please update meeting SESS-3301 so it is 8:30am.,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=SESS-3301;time=8:30am,UpdateMeeting
Move meeting ID MEET-7723; new slot is next Monday.,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=MEET-7723;date=next Monday,UpdateMeeting
Can EVT-0050 happen on October 1 at 11am instead?,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=EVT-0050;date=October 1;time=11am,UpdateMeeting
Adjust CONF-1415 so it lands on Friday at 9am.,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=CONF-1415;date=Friday;time=9am,UpdateMeeting
BRK-2200 needs the new slot 6pm.,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=BRK-2200;time=6pm,UpdateMeeting
The old time for SYNC-88 no longer works; use next Tuesday at 2:30pm.,Calendar,UpdateMeeting,/calendar/meetings/update,meetingId=SYNC-88;date=next Tuesday;time=2:30pm,UpdateMeeting
Am I available on Monday?,Calendar,CheckAvailability,/calendar/availability,date=Monday,CheckAvailability
Am I available on June 25 at 3pm?,Calendar,CheckAvailability,/calendar/availability,date=June 25;time=3pm,CheckAvailability
Is my calendar available on Tuesday?,Calendar,CheckAvailability,/calendar/availability,date=Tuesday,CheckAvailability
Am I available on Friday at 10am?,Calendar,CheckAvailability,/calendar/availability,date=Friday;time=10am,CheckAvailability
Can you see if I am available on July 5 at 2pm?,Calendar,CheckAvailability,/calendar/availability,date=July 5;time=2pm,CheckAvailability
Check if my calendar is available for September 20.,Calendar,CheckAvailability,/calendar/availability,date=September 20,CheckAvailability
Am I available for a meeting on next Thursday at 9am?,Calendar,CheckAvailability,/calendar/availability,date=next Thursday;time=9am,CheckAvailability
Show whether I am available around October 15.,Calendar,CheckAvailability,/calendar/availability,date=October 15,CheckAvailability
Can something fit into my schedule on November 3 at noon?,Calendar,CheckAvailability,/calendar/availability,date=November 3;time=noon,CheckAvailability
Do I have anything blocking next Wednesday?,Calendar,CheckAvailability,/calendar/availability,date=next Wednesday,CheckAvailability
Could I say yes to a call on August 8 at 4pm?,Calendar,CheckAvailability,/calendar/availability,date=August 8;time=4pm,CheckAvailability
Would December 1 work for me?,Calendar,CheckAvailability,/calendar/availability,date=December 1,CheckAvailability
List my calendar events for Monday.,Calendar,ListEvents,/calendar/events,date=Monday,ListEvents
Show me all events scheduled for June 25.,Calendar,ListEvents,/calendar/events,date=June 25,ListEvents
List the meetings I have for tomorrow.,Calendar,ListEvents,/calendar/events,date=tomorrow,ListEvents
Display my calendar events for next Friday.,Calendar,ListEvents,/calendar/events,date=next Friday,ListEvents
Show calendar appointments and events on July 10.,Calendar,ListEvents,/calendar/events,date=July 10,ListEvents
List everything on my schedule for Thursday.,Calendar,ListEvents,/calendar/events,date=Thursday,ListEvents
Show my calendar events and meetings for August 5.,Calendar,ListEvents,/calendar/events,date=August 5,ListEvents
Can you list events on September 12?,Calendar,ListEvents,/calendar/events,date=September 12,ListEvents
What do I have going on today?,Calendar,ListEvents,/calendar/events,date=today,ListEvents
Let me see everything booked for next Tuesday.,Calendar,ListEvents,/calendar/events,date=next Tuesday,ListEvents
How does my day look on October 28?,Calendar,ListEvents,/calendar/events,date=October 28,ListEvents
Remind me what I committed to on November 15.,Calendar,ListEvents,/calendar/events,date=November 15,ListEvents
